"","club.name","field.name","field.address"
"34","Arlington Soccer Association","Kenmore MS Kenmore II","200 S Carlin Springs Road, Arlington, VA 22204"
"35","Arlington Soccer Association","Long Bridge Park #4","475 S. Old Jefferson Davis Highway, Arlington, VA 22207"
"36","Arlington Soccer Association","Long Bridge Park #4A","475 S. Old Jefferson Davis Highway, Arlington, VA 22207"
"37","Arlington Soccer Association","Long Bridge Park 3","475 S. Old Jefferson Davis Highway, Arlington, VA 22207"
"38","Arlington Soccer Association","Quincy Street","1019 N Quincy St, Arlington, VA 22201"
"39","Arlington Soccer Association","Virginia Highlands #2 (9v9)","1600 S. Hayes St, Arlington, VA 22202"
"40","Arlington Soccer Association","Washington-Lee HS Stadium","1301 N. Stafford Street, Arlington, VA 22201"
"41","Arlington Soccer Association","Williamsburg MS #1","3600 N Harrison St, Arlington, VA 22207"
"42","Arlington Soccer Association","Williamsburg MS 1A","3600 N Harrison St, Arlington, VA 22207"
"43","Arlington Soccer Association","Williamsburg MS 1B","3600 N Harrison St, Arlington, VA 22207"
"44","Arlington Soccer Association","Williamsburg MS 2A","3600 N Harrison St, Arlington, VA 22207"
"45","Arundel Soccer Association","Arundel HS Front Bermuda #2","1001 Annapolis Road, Gambrills, MD 21054"
"46","Arundel Soccer Association","Arundel HS Front Bermuda Field","1001 Annapolis Road, Gambrills, MD 21054"
"47","Arundel Soccer Association","Crownsville Hospital #3","105 Circle Dr, Crownsville, MD 21032"
"48","Arundel Soccer Association","Meade HS Field C","1100 Clark Road, Fort George G Meade, MD 20755"
"49","Arundel Soccer Association","Old Mill HS Turf Field","600 Patriot Ln, Millersville, MD 21108"
"50","Bethesda Soccer Club","Maryland SoccerPlex #14","18031 Central Park Circle, Boyds, MD 20841"
"51","Bethesda Soccer Club","Maryland SoccerPlex #15","18031 Central Park Circle, Boyds, MD 20841"
"52","Bethesda Soccer Club","Maryland SoccerPlex #16","18031 Central Park Circle, Boyds, MD 20841"
"53","Bethesda Soccer Club","Maryland SoccerPlex #22","18031 Central Park Circle, Boyds, MD 20841"
"54","Bethesda Soccer Club","Maryland SoccerPlex #3","18031 Central Park Circle, Boyds, MD 20841"
"55","Bethesda Soccer Club","Maryland SoccerPlex #4","18031 Central Park Circle, Boyds, MD 20841"
"56","Bethesda Soccer Club","Maryland SoccerPlex #7","18031 Central Park Circle, Boyds, MD 20841"
"57","Bethesda Soccer Club","Maryland SoccerPlex #9","18031 Central Park Circle, Boyds, MD 20841"
"58","Bethesda Soccer Club","Muldoons Farm #1","18911 Beallsville Road, Poolesville, MD 20837"
"59","Bethesda Soccer Club","Muldoons Farm #2","18911 Beallsville Road, Poolesville, MD 20837"
"60","Bethesda Soccer Club","Wootton High School #1 Turf","2100 Wootton Pkwy, Rockville, MD 20850"
"61","Braddock Road Youth Club","Robinson HS - Upper Turf Full","5035 Sideburn Rd, Fairfax, VA 22032"
"62","Braddock Road Youth Club","Robinson HS - Upper Turf SS1","5035 Sideburn Rd, Fairfax, VA 22032"
"63","Braddock Road Youth Club","Robinson HS Stadium","5035 Sideburn Rd, Fairfax, VA 22032"
"64","Braddock Road Youth Club","WT Woodson HS Stadium Turf","9525 Main St, Fairfax, VA 22032"
"65","Braddock Road Youth Club","WT Woodson HS West Turf - Full","9525 Main St, Fairfax, VA 22032"
"66","Braddock Road Youth Club","WT Woodson HS West Turf - SS1","9525 Main St, Fairfax, VA 22032"
"67","Broadneck SC","Broadneck Park A-Upper field","699 College Parkway, Annapolis, MD 21409"
"68","Broadneck SC","Broadneck Park B-Lower Field","699 College Parkway, Annapolis, MD 21409"
"69","Burke Athletic Club","Lake Braddock  Secondary School Bermuda Grass field","9200 Burke Lake Road, Burke, Va 22015"
"70","Burke Athletic Club","Lake Braddock  Secondary School Stadium Field","9200 Burke Lake Road, Burke, Va 22015"
"71","Burke Athletic Club","Lake Braddock  Secondary School Turf Field #2","9200 Burke Lake Road, Burke, Va 22015"
"72","Burke Athletic Club","Patriot Park (Fairfax) #1","12111 Braddock Road, Fairfax, VA 22030"
"73","Calvert Soccer Association","Church by the Chesapeake Field 2 Lower Field","3255 Broomes Island Road, Port Republic, MD 20676"
"74","Calvert Soccer Association","Dunkirk District Park #4","10750 Southern Maryland Blvd (MD Rt. 4), Dunkirk, MD 20754"
"75","Calvert Soccer Association","Dunkirk District Park #7","10750 Southern Maryland Blvd (MD Rt. 4), Dunkirk, MD 20754"
"76","Calvert Soccer Association","Hallowing Point Park #12","4755 Hallowing Point Rd, Prince Frederick, MD 20678"
"77","Calvert Soccer Association","Hallowing Point Park Back 22 (Field 7)","4755 Hallowing Point Rd, Prince Frederick, MD 20678"
"78","Calvert Soccer Association","Hallowing Point Park Back 22 (Field 8)","4755 Hallowing Point Rd, Prince Frederick, MD 20678"
"79","Calvert Soccer Association","St. John Vianney Catholic Church","105 Vianney Lane, Prince Frederick, MD 20678"
"80","Calverton Soccer Club","Fairland Aquatic Center soccer field","13820 Old Gunpowder Road, Laurel, MD 20707"
"81","Calverton Soccer Club","Fairland Center","13313 Old Columbia Pike, Silver Spring, MD 20904"
"82","Calverton Soccer Club","Fairland Rec Park #5 TURF","3928 Greencastle Rd, Burtonsville,, MD 20866"
"83","Calverton Soccer Club","Martin Luther King, Jr. Rec Park Turf","1120 Jackson Rd., Silver Spring, MD 20904"
"84","Calverton Soccer Club","Maryland SoccerPlex #15","18031 Central Park Circle, Boyds, MD 20841"
"85","Calverton Soccer Club","Maryland SoccerPlex #16","18031 Central Park Circle, Boyds, MD 20841"
"86","Calverton Soccer Club","Maryland SoccerPlex #22","18031 Central Park Circle, Boyds, MD 20841"
"87","Calverton Soccer Club","Maryland SoccerPlex #3","18031 Central Park Circle, Boyds, MD 20841"
"88","Calverton Soccer Club","William Tyler Page ES #1","13400 Tamarack Rd., Silver Spring, MD 20904"
"89","Chantilly Soccer Club","Fred Crabtree","2791 Fox Mill Rd, Herndon, VA 20171"
"90","Chantilly Soccer Club","Poplar Tree Park #2","4718 Stringfellow Road, Chantilly, VA 20152"
"91","Chantilly Youth Association","Arrowhead #1","5200 Arrowhead Park Dr., Centreville, VA 20122"
"92","Chantilly Youth Association","Chantilly High School Stadium Field","4201 Stringfellow Road, Chantilly, VA 20151"
"93","Chantilly Youth Association","Poplar Tree Park #3","4718 Stringfellow Road, Chantilly, VA 20152"
"94","Chantilly Youth Association","Sully Highlands 1A","13800 Wall Road, Oak Hill, VA 20171"
"95","Chantilly Youth Association","Sully Highlands 1B","13800 Wall Road, Oak Hill, VA 20171"
"96","Chantilly Youth Association","Sully Highlands 2","13800 Wall Road, Oak Hill, VA 20171"
"97","Chantilly Youth Association","Sully Highlands 2A","13800 Wall Road, Oak Hill, VA 20171"
"98","Chantilly Youth Association","Westfield HS Turf","4700 Stonecroft Blvd, Chantilly, VA 20151"
"99","Culpeper Soccer Club","Culpeper Complex #1","16332 Cyclone Way, Culpeper, VA 22701"
"100","Culpeper Soccer Club","Culpeper Complex #3","16332 Cyclone Way, Culpeper, VA 22701"
"101","Culpeper Soccer Club","Culpeper Complex #4","16332 Cyclone Way, Culpeper, VA 22701"
"102","D.C. Stoddert","Jelleff Recreation Center SS #1","3265 S Street, NW, Washington, DC 20007-2945"
"103","D.C. Stoddert","Maryland SoccerPlex #14","18031 Central Park Circle, Boyds, MD 20841"
"104","D.C. Stoddert","Maryland SoccerPlex #16","18031 Central Park Circle, Boyds, MD 20841"
"105","D.C. Stoddert","Maryland SoccerPlex #3","18031 Central Park Circle, Boyds, MD 20841"
"106","D.C. Stoddert","Maryland SoccerPlex #4","18031 Central Park Circle, Boyds, MD 20841"
"107","D.C. Stoddert","Maryland SoccerPlex #5","18031 Central Park Circle, Boyds, MD 20841"
"108","D.C. Stoddert","Palisades","5200 Sherier Place NW, Washington, DC 20016"
"109","D.C. Stoddert","Riggs LaSalle Community Center Field #1","501 Riggs Rd, NE, Washington, DC 20011"
"110","D.C. Stoddert","Shepherd ES","7800 14th St NW, Washington, DC 20012-1490"
"111","D.C. Stoddert","Sidwell Friends Turf","3825 Wisconsin Ave NW, Washington, DC 20016"
"112","Davidsonville Athletic Association SC","Davidsonville Park Field B","3042 Patuxent River Road, Davidsonville, MD 21035"
"113","Davidsonville Athletic Association SC","Davidsonville Park Field F","3042 Patuxent River Road, Davidsonville, MD 21035"
"114","Eastern Panhandle Inter County","Shepherd University Soccer Complex Field #1","675 University Dr, Shepherdstown, WV 25443"
"115","Eastern Panhandle Inter County","South Jefferson Park Field #1","4095 Leetown Rd., Summit Point, WV 25446"
"116","Fairfax Police Youth Club","Draper Drive Park Turf 1","9797 Beech Drive, Fairfax, VA 22031"
"117","Fairfax Police Youth Club","Draper Drive Park Turf 2","9797 Beech Drive, Fairfax, VA 22031"
"118","Fairfax Police Youth Club","Green Acres Center Field 1","4401 Sideburn Road, Fairfax, VA 22030"
"119","Fairfax Police Youth Club","Oak Marr Park Field #1","3200 Jermantown Road, Oakton, VA 22124"
