"","club.name","field.name","field.address","lat","lng"
"67","Broadneck SC","Broadneck Park A-Upper field","699 College Parkway, Annapolis, MD 21409",39.02713,-76.44487
"68","Broadneck SC","Broadneck Park B-Lower Field","699 College Parkway, Annapolis, MD 21409",39.02713,-76.44487
"69","Burke Athletic Club","Lake Braddock  Secondary School Bermuda Grass field","9200 Burke Lake Road, Burke, Va 22015",38.800503,-77.26586
"70","Burke Athletic Club","Lake Braddock  Secondary School Stadium Field","9200 Burke Lake Road, Burke, Va 22015",38.800503,-77.26586
"71","Burke Athletic Club","Lake Braddock  Secondary School Turf Field #2","9200 Burke Lake Road, Burke, Va 22015",38.800503,-77.26586
"72","Burke Athletic Club","Patriot Park (Fairfax) #1","12111 Braddock Road, Fairfax, VA 22030",38.829206,-77.36496
"73","Calvert Soccer Association","Church by the Chesapeake Field 2 Lower Field","3255 Broomes Island Road, Port Republic, MD 20676",38.488884,-76.538651
"74","Calvert Soccer Association","Dunkirk District Park #4","10750 Southern Maryland Blvd (MD Rt. 4), Dunkirk, MD 20754",38.722636,-76.660678
"75","Calvert Soccer Association","Dunkirk District Park #7","10750 Southern Maryland Blvd (MD Rt. 4), Dunkirk, MD 20754",38.722636,-76.660678
"76","Calvert Soccer Association","Hallowing Point Park #12","4755 Hallowing Point Rd, Prince Frederick, MD 20678",38.509243,-76.627975
"77","Calvert Soccer Association","Hallowing Point Park Back 22 (Field 7)","4755 Hallowing Point Rd, Prince Frederick, MD 20678",38.509243,-76.627975
"78","Calvert Soccer Association","Hallowing Point Park Back 22 (Field 8)","4755 Hallowing Point Rd, Prince Frederick, MD 20678",38.509243,-76.627975
"79","Calvert Soccer Association","St. John Vianney Catholic Church","105 Vianney Lane, Prince Frederick, MD 20678",38.537667,-76.581149
"80","Calverton Soccer Club","Fairland Aquatic Center soccer field","13820 Old Gunpowder Road, Laurel, MD 20707",39.079915,-76.919708
"81","Calverton Soccer Club","Fairland Center","13313 Old Columbia Pike, Silver Spring, MD 20904",39.074641,-76.958521
"82","Calverton Soccer Club","Fairland Rec Park #5 TURF","3928 Greencastle Rd, Burtonsville,, MD 20866",39.081263,-76.930495
"83","Calverton Soccer Club","Martin Luther King, Jr. Rec Park Turf","1120 Jackson Rd., Silver Spring, MD 20904",39.055504,-76.989663
"84","Calverton Soccer Club","Maryland SoccerPlex #15","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"85","Calverton Soccer Club","Maryland SoccerPlex #16","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"86","Calverton Soccer Club","Maryland SoccerPlex #22","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"87","Calverton Soccer Club","Maryland SoccerPlex #3","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"88","Calverton Soccer Club","William Tyler Page ES #1","13400 Tamarack Rd., Silver Spring, MD 20904",39.074947,-76.982909
"89","Chantilly Soccer Club","Fred Crabtree","2791 Fox Mill Rd, Herndon, VA 20171",38.914272,-77.364778
"90","Chantilly Soccer Club","Poplar Tree Park #2","4718 Stringfellow Road, Chantilly, VA 20152",38.862151,-77.405794
"91","Chantilly Youth Association","Arrowhead #1","5200 Arrowhead Park Dr., Centreville, VA 20122",38.846819,-77.403855
"92","Chantilly Youth Association","Chantilly High School Stadium Field","4201 Stringfellow Road, Chantilly, VA 20151",38.879477,-77.408676
"93","Chantilly Youth Association","Poplar Tree Park #3","4718 Stringfellow Road, Chantilly, VA 20152",38.862151,-77.405794
"94","Chantilly Youth Association","Sully Highlands 1A","13800 Wall Road, Oak Hill, VA 20171",38.916652,-77.42205
"95","Chantilly Youth Association","Sully Highlands 1B","13800 Wall Road, Oak Hill, VA 20171",38.916652,-77.42205
"96","Chantilly Youth Association","Sully Highlands 2","13800 Wall Road, Oak Hill, VA 20171",38.916652,-77.42205
"97","Chantilly Youth Association","Sully Highlands 2A","13800 Wall Road, Oak Hill, VA 20171",38.916652,-77.42205
"98","Chantilly Youth Association","Westfield HS Turf","4700 Stonecroft Blvd, Chantilly, VA 20151",38.884315,-77.462053
"99","Culpeper Soccer Club","Culpeper Complex #1","16332 Cyclone Way, Culpeper, VA 22701",38.558201,-78.056116
"100","Culpeper Soccer Club","Culpeper Complex #3","16332 Cyclone Way, Culpeper, VA 22701",38.558201,-78.056116
"101","Culpeper Soccer Club","Culpeper Complex #4","16332 Cyclone Way, Culpeper, VA 22701",38.558201,-78.056116
"102","D.C. Stoddert","Jelleff Recreation Center SS #1","3265 S Street, NW, Washington, DC 20007-2945",38.906889,-77.065466
"103","D.C. Stoddert","Maryland SoccerPlex #14","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"104","D.C. Stoddert","Maryland SoccerPlex #16","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"105","D.C. Stoddert","Maryland SoccerPlex #3","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"106","D.C. Stoddert","Maryland SoccerPlex #4","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"107","D.C. Stoddert","Maryland SoccerPlex #5","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"108","D.C. Stoddert","Palisades","5200 Sherier Place NW, Washington, DC 20016",38.925695,-77.103723
"109","D.C. Stoddert","Riggs LaSalle Community Center Field #1","501 Riggs Rd, NE, Washington, DC 20011",38.960193,-77.000112
"110","D.C. Stoddert","Shepherd ES","7800 14th St NW, Washington, DC 20012-1490",38.984145,-77.033412
"111","D.C. Stoddert","Sidwell Friends Turf","3825 Wisconsin Ave NW, Washington, DC 20016",38.939047,-77.07457
"112","Davidsonville Athletic Association SC","Davidsonville Park Field B","3042 Patuxent River Road, Davidsonville, MD 21035",38.943094,-76.678714
"113","Davidsonville Athletic Association SC","Davidsonville Park Field F","3042 Patuxent River Road, Davidsonville, MD 21035",38.943094,-76.678714
"114","Eastern Panhandle Inter County","Shepherd University Soccer Complex Field #1","675 University Dr, Shepherdstown, WV 25443",39.43967,-77.812018
"115","Eastern Panhandle Inter County","South Jefferson Park Field #1","4095 Leetown Rd., Summit Point, WV 25446",39.269505,-77.977711
"116","Fairfax Police Youth Club","Draper Drive Park Turf 1","9797 Beech Drive, Fairfax, VA 22031",38.682451,-77.137189
"117","Fairfax Police Youth Club","Draper Drive Park Turf 2","9797 Beech Drive, Fairfax, VA 22031",38.682451,-77.137189
"118","Fairfax Police Youth Club","Green Acres Center Field 1","4401 Sideburn Road, Fairfax, VA 22030",38.836079,-77.303983
"119","Fairfax Police Youth Club","Oak Marr Park Field #1","3200 Jermantown Road, Oakton, VA 22124",38.873807,-77.31448
"120","Fairfax Police Youth Club","Oakton HS 3R","2900 Sutton Rd., Vienna, VA 22181",38.881923,-77.28017
"121","Fairfax Police Youth Club","Stafford Drive Park Turf 1","3300 Stafford Dr, Fairfax, VA 22030",38.833396,-77.300404
"122","FC Frederick","Gov. Thomas Johnson MS # 3","1730 N Market St, Frederick, MD 21701",39.436034,-77.402543
"123","FC Frederick","Gov. Thomas Johnson MS #2","1730 N Market St, Frederick, MD 21701",39.436034,-77.402543
"124","FC Frederick","St. John's Catholic Prep #1","3989 Buckeystown Pike, Buckeystown, MD 21717",39.339819,-77.429966
"125","FCV ASHBURN","Bles Park #1","44830 Riverside Parkway, Ashburn, VA 20147",39.071225,-77.471634
"126","FCV ASHBURN","Bles Park #2","44830 Riverside Parkway, Ashburn, VA 20147",39.071225,-77.471634
"127","FCV ASHBURN","Bles Park #3A","44830 Riverside Parkway, Ashburn, VA 20147",39.071225,-77.471634
"128","FCV ASHBURN","Bles Park #4","44830 Riverside Parkway, Ashburn, VA 20147",39.071225,-77.471634
"129","Fredericksburg Soccer Club Inc","Bull Run Park #1","7700 Bull Run Dr, Centreville, VA 20121",38.802392,-77.490869
"130","Fredericksburg Soccer Club Inc","Bull Run Park #4","7700 Bull Run Dr, Centreville, VA 20121",38.802392,-77.490869
"131","Fredericksburg Soccer Club Inc","Patriot Park (Fredericksburg) #3","5710 Smith Station Road, Fredericksburg, VA 22407",38.202253,-77.533716
"132","Fredericksburg Soccer Club Inc","Patriot Park (Fredericksburg) #5","5710 Smith Station Road, Fredericksburg, VA 22407",38.202253,-77.533716
"133","Fredericksburg Soccer Club Inc","Patriot Park (Fredericksburg) #6","5710 Smith Station Road, Fredericksburg, VA 22407",38.202253,-77.533716
"134","Front Royal Soccer Association","Skyline Soccerplex Field 2- U-12","100 Kerfoot Ave., Front Royal, VA 22630",38.921256,-78.205312
"135","Front Royal Soccer Association","Skyline Soccerplex Field 3 U-14/Senior","100 Kerfoot Ave., Front Royal, VA 22630",38.921256,-78.205312
"136","Front Royal Soccer Association","Skyline Soccerplex Field 8 U 14/Senior","100 Kerfoot Ave., Front Royal, VA 22630",38.921256,-78.205312
"137","Future Soccer Club","Marlboro Meadows Field#1 Field 1","4428 Dery Rd, Upper Marlboro, MD 20772",38.828846,-76.70922
"138","Future Soccer Club","Maryland SoccerPlex #14","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"139","Future Soccer Club","Maryland SoccerPlex #15","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"140","Future Soccer Club","Maryland SoccerPlex #16","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"141","Future Soccer Club","Maryland SoccerPlex #17","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"142","Future Soccer Club","Maryland SoccerPlex #2","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"143","Future Soccer Club","Maryland SoccerPlex #22","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"144","Future Soccer Club","Maryland SoccerPlex #3","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"145","Future Soccer Club","Maryland SoccerPlex #4","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"146","Future Soccer Club","Maryland SoccerPlex #5","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"147","Future Soccer Club","Maryland SoccerPlex #7","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"148","Future Soccer Club","Maryland SoccerPlex #9","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"149","Future Soccer Club","Ridge Road Recreational Park Field #5 (Games Only)","21155 N Frederick Rd, Germantown, MD 20876",39.204041,-77.245939
"150","Great Falls SC","Baron Cameron Park #10A","11300 Baron Cameron Avenue, Reston, VA 20190",38.973532,-77.333702
"151","Great Falls SC","Baron Cameron Park #10B","11300 Baron Cameron Avenue, Reston, VA 20190",38.973532,-77.333702
"152","Great Falls SC","Grand Hamptons Park 1","1081 Safa Street, Herndon, VA 20170",39.007257,-77.362029
"153","Great Falls SC","Jones Branch Park #1 Large","8008 Jones Branch Road, Tysons, VA 22102",38.924718,-77.222389
"154","Great Falls SC","Lockmeade Park #1","1104 Riva Ridge Drive, Great Falls, VA 22066",38.987986,-77.317321
"155","Great Falls SC","Nike Park #4 (full-sided)","1085 Utterback Store Rd, Great Falls, VA 22066",38.993611,-77.329422
"156","Great Falls SC","Nike Park #7 (full-sided)","1085 Utterback Store Rd, Great Falls, VA 22066",38.993611,-77.329422
"157","Great Falls SC","Nike Park #8 (full-sided)","1085 Utterback Store Rd, Great Falls, VA 22066",38.993611,-77.329422
"158","Great Falls SC","Nike Park 4A","1085 Utterback Store Rd, Great Falls, VA 22066",38.993611,-77.329422
"159","Great Falls SC","Nike Park 4B","1085 Utterback Store Rd, Great Falls, VA 22066",38.993611,-77.329422
"160","Great Falls SC","Nike Park 7A","1085 Utterback Store Rd, Great Falls, VA 22066",38.993611,-77.329422
"161","Great Falls SC","Nike Park 7B","1085 Utterback Store Rd, Great Falls, VA 22066",38.993611,-77.329422
"162","Great Falls SC","Witter Fields Complex #1b","2600 Witter Street, Alexandria, VA 22314",38.813125,-77.039281
"163","Gunston Soccer Club","Grist Mill Park # 5A (U9-U12)","4710 Mount Vernon Memorial Highway, Alexandria, VA 22309",38.70777,-77.115377
"164","Gunston Soccer Club","Grist Mill Park # 5B (U9-U12)","4710 Mount Vernon Memorial Highway, Alexandria, VA 22309",38.70777,-77.115377
"165","Gunston Soccer Club","Grist Mill Park #4","4710 Mount Vernon Memorial Highway, Alexandria, VA 22309",38.70777,-77.115377
"166","Gunston Soccer Club","Grist Mill Park #4A (U9-12)","4710 Mount Vernon Memorial Highway, Alexandria, VA 22309",38.70777,-77.115377
"167","Gunston Soccer Club","Grist Mill Park #4B (U9-12)","4710 Mount Vernon Memorial Highway, Alexandria, VA 22309",38.70777,-77.115377
"168","Gunston Soccer Club","Mount Vernon High School RF#1","8515 Old Mt. Vernon Rd., Alexandria, VA 22309",38.725911,-77.094528
"169","Gunston Soccer Club","Mount Vernon High School Stadium","8515 Old Mt. Vernon Rd., Alexandria, VA 22309",38.725911,-77.094528
"170","Herndon Youth Soccer Association","Arrowbrook","2351 Feld Point Rd, Herndon, Va 20171",39.128712,-77.5383
"171","Herndon Youth Soccer Association","Bready Park(at Herndon Community Center) Bready Park # 1A","814 Ferndale Ave, Herndon, Va 20170",38.97112,-77.394497
"172","Herndon Youth Soccer Association","Bready Park(at Herndon Community Center) Bready Park # 1B","814 Ferndale Ave, Herndon, Va 20170",38.97112,-77.394497
"173","Herndon Youth Soccer Association","Herndon High School Auxiliary Field","700 Bennett Street, Herndon, Va 20170",38.98458,-77.374082
"174","Herndon Youth Soccer Association","Herndon High School Stadium Field","700 Bennett Street, Herndon, Va 20170",38.98458,-77.374082
"175","Herndon Youth Soccer Association","Hutchison Park #4 (Turf)","13209 Parcher Ave, Herndon, VA 20170",38.960398,-77.403585
"176","La Plata Soccer Academy","Bryantown Sports Complex #03","5665 Bryantown Road, Waldorf, MD 20601",38.557151,-76.84171
"177","La Plata Soccer Academy","Bryantown Sports Complex #12","5665 Bryantown Road, Waldorf, MD 20601",38.557151,-76.84171
"178","La Plata Soccer Academy","Laurel Spring Regional Park Regulation #1","5940 Radio Station Road, La Plata, MD 20646",38.546805,-76.948473
"179","La Plata Soccer Academy","Laurel Springs intermediate field #2","5940 Radio Station Road, La Plata Md, MD 20646",38.510926,-77.030238
"180","Laurel Soccer Club","Fairland Aquatic Center soccer field","13820 Old Gunpowder Road, Laurel, MD 20707",39.079915,-76.919708
"181","Laurel Soccer Club","Fairland Center","13313 Old Columbia Pike, Silver Spring, MD 20904",39.074641,-76.958521
"182","Laurel Soccer Club","Fairland Rec Park #5 TURF","3928 Greencastle Rd, Burtonsville,, MD 20866",39.081263,-76.930495
"183","Laurel Soccer Club","Maryland SoccerPlex #14","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"184","Laurel Soccer Club","Maryland SoccerPlex #16","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"185","Laurel Soccer Club","Maryland SoccerPlex #19a","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"186","Laurel Soccer Club","Maryland SoccerPlex #20a","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"187","Laurel Soccer Club","Maryland SoccerPlex #3","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"188","Laurel Soccer Club","William Tyler Page ES #1","13400 Tamarack Rd., Silver Spring, MD 20904",39.074947,-76.982909
"189","Lee-Mt. Vernon Sports Club","Bull Run Park #1","7700 Bull Run Dr, Centreville, VA 20121",38.802392,-77.490869
"190","Lee-Mt. Vernon Sports Club","Edison HS Aux Right","5801 Franconia Road, Alexandria, VA 22310",38.784071,-77.132531
"191","Lee-Mt. Vernon Sports Club","Edison High School Stadium Field","5801 Franconia Road, Alexandria, VA 22310",38.784071,-77.132531
"192","Lee-Mt. Vernon Sports Club","Lee District Park #4 Left","6601 Telegraph Road, Alexandria, VA 22310",38.773422,-77.112776
"193","Lee-Mt. Vernon Sports Club","Lee District Park #4 Right","6601 Telegraph Road, Alexandria, VA 22310",38.773422,-77.112776
"194","Lee-Mt. Vernon Sports Club","Lee District Park Lee District","6601 Telegraph Road, Alexandria, VA 22310",38.773422,-77.112776
"195","Lee-Mt. Vernon Sports Club","West Potomac HS Stadium","6500 Quander Road,, Alexandria, VA 22308",38.777955,-77.069837
"196","Leesburg Football Club","Evergreen Sportsplex #2","19623 Evergreen Mill Road, Leesburg, VA",39.089658,-77.571443
"197","Leesburg Football Club","Morven Park #1","41793 Tutt Lane, Leesburg, VA 20176",39.14607,-77.55816
"198","Leesburg Football Club","Morven Park #2","41793 Tutt Lane, Leesburg, VA 20176",39.14607,-77.55816
"199","Leesburg Football Club","Morven Park #3","41793 Tutt Lane, Leesburg, VA 20176",39.14607,-77.55816
"200","Leesburg Football Club","Morven Park #5A","41793 Tutt Lane, Leesburg, VA 20176",39.14607,-77.55816
"201","Loudoun Soccer","Byrnes Ridge #4","24915 Mineral Springs Circle, Aldie, VA 20105",38.928293,-77.552023
"202","Loudoun Soccer","Byrnes Ridge #5","24915 Mineral Springs Circle, Aldie, VA 20105",38.928293,-77.552023
"203","Loudoun Soccer","Conklin Park #2","25701 Donegal Drive, Chantilly, VA 20152",38.909615,-77.523422
"204","Loudoun Soccer","Conklin Park #3","25701 Donegal Drive, Chantilly, VA 20152",38.909615,-77.523422
"205","Loudoun Soccer","Eastgate Park #1","43664 Tall Cedars Parkway, Chantilly, VA",38.932825,-77.544356
"206","Loudoun Soccer","Lyndora #2A","43624 Lucketts Bridge Circle, Ashburn, VA 20148",38.991817,-77.496729
"207","Loudoun Soccer","Riverside HS #2","19019 Upper Belmont Pl, Leesburg, VA 20176",39.086497,-77.491949
"208","Loudoun Soccer","Riverside HS Stadium","19019 Upper Belmont Pl, Leesburg, VA 20176",39.086497,-77.491949
"209","Maryland Rush","Bates Heritage Turf","121 S. Villa Ave., Annapolis, MD 21401",38.99955,-76.562657
"210","Maryland Rush","Weems-Whalen Field at Bates Athletic Complex","935 Spa Rd, Annapolis, MD 21401",38.973627,-76.509308
"211","Maryland Rush Montgomery","Maryland SoccerPlex #12","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"212","Maryland Rush Montgomery","Maryland SoccerPlex #13","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"213","Maryland Rush Montgomery","Maryland SoccerPlex #13b","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"214","Maryland Rush Montgomery","Maryland SoccerPlex #14","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"215","Maryland Rush Montgomery","Maryland SoccerPlex #15","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"216","Maryland Rush Montgomery","Maryland SoccerPlex #16","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"217","Maryland Rush Montgomery","Maryland SoccerPlex #17","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"218","Maryland Rush Montgomery","Maryland SoccerPlex #19a","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"219","Maryland Rush Montgomery","Maryland SoccerPlex #2","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"220","Maryland Rush Montgomery","Maryland SoccerPlex #20a","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"221","Maryland Rush Montgomery","Maryland SoccerPlex #22","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"222","Maryland Rush Montgomery","Maryland SoccerPlex #3","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
"223","Maryland Rush Montgomery","Maryland SoccerPlex #4","18031 Central Park Circle, Boyds, MD 20841",39.137122,-77.180403
